trial,universe,n_assets,T_in,iter,es95,l1_step,note
31,sp500,31,622,0,-0.013323669350978184,nan,
31,sp500,31,622,1,-0.012434408857073103,0.22408422316718263,
31,sp500,31,622,2,-0.01254092760358538,0.2049560546875,
31,sp500,31,622,3,-0.013120395656040734,0.1744384765625,
31,sp500,31,622,-1,,,ValueError: all target probabilities must be positive
32,sp500,30,271,0,-0.009628714737119501,nan,
32,sp500,30,271,1,-0.00987101456124442,0.26206510321418647,
32,sp500,30,271,2,-0.010225815002441406,0.2803955078125,
32,sp500,30,271,3,-0.011129646118164064,0.273681640625,
32,sp500,30,271,-1,,,ValueError: all target probabilities must be positive
33,reit,17,294,0,-0.02178234570046007,nan,
33,reit,17,294,1,-0.02093760717824446,0.3916656232573567,
33,reit,17,294,2,-0.020476576755808367,0.44384765625,
33,reit,17,294,3,-0.02166538503317376,0.334716796875,
33,reit,17,294,-1,,,ValueError: all target probabilities must be positive
34,reit,13,407,0,-0.023904370540023166,nan,
34,reit,13,407,1,-0.02386260311054053,0.11201594502659408,
34,reit,13,407,2,-0.023984909488288544,0.12841796875,
34,reit,13,407,3,-0.024185334569520937,0.13330078125,
34,reit,13,407,4,-0.024719497793589274,0.130126953125,
34,reit,13,407,5,-0.025571388480522202,0.1251220703125,
34,reit,13,407,6,-0.027078722683251934,0.1258544921875,
34,reit,13,407,7,-0.029234397425207663,0.1256103515625,
34,reit,13,407,-1,,,ValueError: all target probabilities must be positive
35,sp500,14,634,0,-0.02941631150321116,nan,
35,sp500,14,634,1,-0.03556956149727957,0.28105125349850607,
35,sp500,14,634,2,-0.04434589937918527,0.250732421875,
35,sp500,14,634,3,-0.053145615059988834,0.19091796875,
35,sp500,14,634,4,-0.06192904521833147,0.1695556640625,
35,sp500,14,634,-1,,,ValueError: all target probabilities must be positive
36,reit,19,613,0,-0.017521106217252374,nan,
36,reit,19,613,1,-0.01610243728776797,0.38625669342883256,
36,reit,19,613,2,-0.015156104223752551,0.468505859375,
36,reit,19,613,3,-0.015885095928989432,0.387939453125,
36,reit,19,613,-1,,,ValueError: all target probabilities must be positive
37,sp500,19,453,0,-0.012809165026151413,nan,
37,sp500,19,453,1,-0.012368752406529017,0.16982023473985558,
37,sp500,19,453,2,-0.012365726789202006,0.1925048828125,
37,sp500,19,453,3,-0.01305919175502232,0.216064453125,
37,sp500,19,453,4,-0.014595388262067521,0.22802734375,
37,sp500,19,453,5,-0.01635991263253348,0.2308349609375,
37,sp500,19,453,-1,,,ValueError: all target probabilities must be positive
38,reit,25,552,0,-0.023734021117253316,nan,
38,reit,25,552,1,-0.023321205551908104,0.3349302531595782,
38,reit,25,552,2,-0.02239438869141263,0.4637451171875,
38,reit,25,552,3,-0.02223399595346606,0.492431640625,
38,reit,25,552,-1,,,ValueError: all target probabilities must be positive
39,reit,23,637,0,-0.025806922837484984,nan,
39,reit,23,637,1,-0.02685645718520821,0.39483921849885933,
39,reit,23,637,2,-0.02791369529825632,0.4058837890625,
39,reit,23,637,3,-0.02873557737255156,0.339111328125,
39,reit,23,637,-1,,,ValueError: all target probabilities must be positive
40,sp500,14,599,0,-0.020529190353514117,nan,
40,sp500,14,599,1,-0.02113149308558873,0.3341018654746865,
40,sp500,14,599,2,-0.022318198460170198,0.334228515625,
40,sp500,14,599,3,-0.023954405194963727,0.260986328125,
40,sp500,14,599,-1,,,ValueError: all target probabilities must be positive
41,sp500,18,496,0,-0.07240331192302725,nan,
41,sp500,18,496,1,-0.07177578109305245,0.1728416055063931,
41,sp500,18,496,2,-0.07127941888427734,0.16357421875,
41,sp500,18,496,3,-0.07101593430001395,0.1474609375,
41,sp500,18,496,4,-0.07114019570486887,0.1285400390625,
41,sp500,18,496,5,-0.07175825794328962,0.10009765625,
41,sp500,18,496,-1,,,ValueError: all target probabilities must be positive
42,reit,22,327,0,-0.023138988007690212,nan,
42,reit,22,327,1,-0.025093660610922084,0.5938284535152101,
42,reit,22,327,2,-0.029939953316661085,0.4683837890625,
42,reit,22,327,-1,,,ValueError: all target probabilities must be positive
43,sp500,18,434,0,-0.09001203059115226,nan,
43,sp500,18,434,1,-0.08978488372802736,0.11667304597327305,
43,sp500,18,434,2,-0.0893857625645229,0.118408203125,
43,sp500,18,434,3,-0.08886091421944756,0.1220703125,
43,sp500,18,434,4,-0.08816477930559431,0.1180419921875,
43,sp500,18,434,5,-0.08790448004150389,0.1160888671875,
43,sp500,18,434,-1,,,ValueError: all target probabilities must be positive
44,sp500,33,694,0,-0.018125594982524418,nan,
44,sp500,33,694,1,-0.017023954162597655,0.31539590879450136,
44,sp500,33,694,2,-0.01674773508998326,0.27880859375,
44,sp500,33,694,3,-0.016953558654785157,0.23681640625,
44,sp500,33,694,-1,,,ValueError: all target probabilities must be positive
45,sp500,18,724,0,-0.0331964115476043,nan,
45,sp500,18,724,1,-0.03356096221923828,0.13701311446310369,
45,sp500,18,724,2,-0.033959011021205354,0.163330078125,
45,sp500,18,724,3,-0.0343252877633231,0.1639404296875,
45,sp500,18,724,4,-0.034806689348493305,0.1470947265625,
45,sp500,18,724,5,-0.03530042853655134,0.120849609375,
45,sp500,18,724,6,-0.03571303861781529,0.087890625,
45,sp500,18,724,-1,,,ValueError: all target probabilities must be positive
46,reit,14,664,0,-0.01503248695003131,nan,
46,reit,14,664,1,-0.014984089528404503,0.1679784309165942,
46,reit,14,664,2,-0.015167161172719856,0.2314453125,
46,reit,14,664,3,-0.016159075489027175,0.275390625,
46,reit,14,664,4,-0.018067942599892885,0.2562255859375,
46,reit,14,664,5,-0.020234093124225028,0.2198486328125,
46,reit,14,664,6,-0.022529502602118213,0.170654296875,
46,reit,14,664,-1,,,ValueError: all target probabilities must be positive
47,sp500,39,343,0,-0.015274700413886368,nan,
47,sp500,39,343,1,-0.014005611075265068,0.29754088021005165,
47,sp500,39,343,2,-0.013842379586356026,0.2213134765625,
47,sp500,39,343,-1,,,ValueError: all target probabilities must be positive
48,reit,25,284,0,-0.028939682308990838,nan,
48,reit,25,284,1,-0.028844167873931754,0.4193017223617682,
48,reit,25,284,2,-0.0338700683299949,0.4747314453125,
48,reit,25,284,3,-0.041217259358822644,0.401123046875,
48,reit,25,284,-1,,,ValueError: all target probabilities must be positive
49,reit,18,709,0,-0.01860573350584811,nan,
49,reit,18,709,1,-0.017090692809065822,0.40970845684857,
49,reit,18,709,2,-0.016308151665139412,0.392578125,
49,reit,18,709,-1,,,ValueError: all target probabilities must be positive
50,reit,15,602,0,-0.018887181916153357,nan,
50,reit,15,602,1,-0.018164103955645227,0.321528373189216,
50,reit,15,602,2,-0.017966485741574664,0.4971923828125,
50,reit,15,602,3,-0.02040958401639054,0.4517822265625,
50,reit,15,602,4,-0.023626330693502312,0.2413330078125,
50,reit,15,602,-1,,,ValueError: all target probabilities must be positive
51,reit,20,332,0,-0.08652325715405136,nan,
51,reit,20,332,1,-0.08956868879978312,0.5128894891878643,
51,reit,20,332,2,-0.09229574669578379,0.4967041015625,
51,reit,20,332,-1,,,ValueError: all target probabilities must be positive
52,sp500,35,608,0,-0.009425562718429191,nan,
52,sp500,35,608,1,-0.009094896432059152,0.22131630450046427,
52,sp500,35,608,2,-0.009052411900111607,0.247314453125,
52,sp500,35,608,3,-0.00927063099016462,0.267333984375,
52,sp500,35,608,4,-0.009645643790108818,0.252685546875,
52,sp500,35,608,-1,,,ValueError: all target probabilities must be positive
53,reit,18,571,0,-0.031790408526537764,nan,
53,reit,18,571,1,-0.0306731285504862,0.2924067061912181,
53,reit,18,571,2,-0.029582633427158913,0.2882080078125,
53,reit,18,571,3,-0.02867650256798874,0.2288818359375,
53,reit,18,571,4,-0.02820935414236016,0.1566162109375,
53,reit,18,571,5,-0.028077214294309125,0.126953125,
53,reit,18,571,-1,,,ValueError: all target probabilities must be positive
54,sp500,34,289,0,-0.018652773677653074,nan,
54,sp500,34,289,1,-0.017562419206891743,0.25246643183337236,
54,sp500,34,289,2,-0.016809283438546315,0.282958984375,
54,sp500,34,289,3,-0.016265247593470984,0.283447265625,
54,sp500,34,289,-1,,,ValueError: all target probabilities must be positive
55,reit,25,297,0,-0.011157774051358283,nan,
55,reit,25,297,1,-0.010991863511220544,0.1909306741854435,
55,reit,25,297,2,-0.01096634821113647,0.2081298828125,
55,reit,25,297,3,-0.011367409716130537,0.2110595703125,
55,reit,25,297,4,-0.011918428129590578,0.2008056640625,
55,reit,25,297,5,-0.01256146701686331,0.1746826171875,
55,reit,25,297,6,-0.013865480730117393,0.146484375,
55,reit,25,297,-1,,,ValueError: all target probabilities must be positive
56,sp500,23,574,0,-0.011464319786880218,nan,
56,sp500,23,574,1,-0.012353796752929688,0.28165048416715677,
56,sp500,23,574,2,-0.01261557306780134,0.234130859375,
56,sp500,23,574,3,-0.012213572509765626,0.1827392578125,
56,sp500,23,574,-1,,,ValueError: all target probabilities must be positive
57,sp500,29,273,0,-0.016216795808448786,nan,
57,sp500,29,273,1,-0.015701895132882254,0.27059074865563043,
57,sp500,29,273,2,-0.015218208635602677,0.26318359375,
57,sp500,29,273,3,-0.014871793892996652,0.2225341796875,
57,sp500,29,273,4,-0.0146187333984375,0.177734375,
57,sp500,29,273,-1,,,ValueError: all target probabilities must be positive
58,sp500,16,712,0,-0.02352152427107266,nan,
58,sp500,16,712,1,-0.022983918125697545,0.14485668882135883,
58,sp500,16,712,2,-0.0226804428187779,0.15380859375,
58,sp500,16,712,3,-0.02240472909981864,0.15234375,
58,sp500,16,712,4,-0.02221149407958984,0.141845703125,
